custom/avg_center_dev,custom/total_reward,custom/routes_completed,custom/avg_speed,custom/total_distance,custom/mean_reward,time/fps,time/total_timesteps,train/std,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss
0.3891204364799071,9.13181970516154,0.6153846153846154,17.072656152837812,23.086479738587514,0.12340296898866945,,,,,,,,,,,,,
0.5771054339332686,12.719125892166023,0.1016949152542373,14.27837868395522,24.562350707361475,0.1367647945394196,,,,,,,,,,,,,
0.8628557991461693,-1.1697459707262219,0.2413793103448276,12.095537382705045,13.471498263068497,-0.019176163454528227,,,,,,,,,,,,,
0.6953992529533709,-0.12559254252835572,0.20754716981132076,12.302213351559397,11.416128719691187,-0.002462598873105014,,,,,,,,,,,,,
,,,,,,36,275,0.04978706315159798,4,5.12081225,7,68.75,,,,,,
0.7208977776762622,4.496866145651509,0.29310344827586204,13.357291943306778,16.864943078020588,0.0651719731253842,,,,,,,,,,,,,
0.396767750986554,23.590960253602503,0.06091370558375635,14.472267336505814,24.93541465862654,0.25096766227236705,,,,,,,,,,,,,
0.4980313435979786,9.42424834386128,0.36363636363636365,14.213886596452681,16.35049400641583,0.14959124355335365,,,,,,,,,,,,,
0.34716593070396856,2.0937128343212823,0.023529411764705882,9.877487965395943,9.46203954599332,0.04026370835233235,,,,,,,,,,,,,
,,,,,,39,549,0.04978706315159798,8,7.493337375,14,68.625,,,,,,
0.43282471903544734,22.940146365503615,0.4444444444444444,15.31972211419688,20.445785701973364,0.3142485803493646,,,,,,,,,,,,,
0.9255532427875034,12.056069519155663,0.14560439560439561,22.455152277031573,54.100627165520564,0.09203106503172262,,,,,,,,,,,,,
0.9730811838046476,11.451243052598848,0.6666666666666666,16.240541681903306,28.362839142326266,0.12053940055367209,,,,,,,,,,,,,
0.5333639501946941,7.710877722988723,0.054187192118226604,15.983473303765798,21.920777747640386,0.10281170297318297,,,,,,,,,,,,,
,,,,,,42,919,0.04978706315159798,12,9.505738166666665,21,76.58333333333333,,,,,,
0.6182708670044417,8.405038820621005,0.07929515418502203,13.262020825158235,17.718000869033858,0.1151375180906987,,,,,,,,,,,,,
