custom/avg_speed,custom/total_distance,custom/routes_completed,custom/mean_reward,custom/avg_center_dev,custom/total_reward,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/std,rollout/ep_len_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates
14.978320572914406,17.742316180141643,0.46153846153846156,0.13434768701126223,0.32681400969797847,8.732599655732045,,,,,,,,,,,,,
9.681102031359144,7.175764314364642,0.029661016949152543,-0.1257348773406065,0.5267874994462366,-5.155129970964866,,,,,,,,,,,,,
11.101179148396461,10.893857301562093,0.1896551724137931,0.0354395156650179,0.31594148613477924,1.9137338459109667,,,,,,,,,,,,,
8.664505697308348,5.728188385255635,0.11320754716981132,-0.08628510036803612,0.31757427933429144,-3.1925487136173363,,,,,,,,,,,,,
,,,,,,6,4,0.5475534999999999,0.04978706315159798,48.25,28,193,,,,,,
16.44813184170281,21.01610258454457,0.3620689655172414,0.16282964600173586,0.2690040419513305,11.398075220121509,,,,,,,,,,,,,
9.623595781092723,8.707098976359703,0.02030456852791878,-0.092300985418278,0.5074301249479073,-4.6150492709139,,,,,,,,,,,,,
9.9486710966446,8.469466972630471,0.20454545454545456,0.009823160876362341,0.35377644487722704,0.46168856118903,,,,,,,,,,,,,
12.913952602788273,16.5675175327342,0.04,0.17647450547086357,0.271343025201608,12.35321538296045,,,,,,,,,,,,,
,,,,,,12,8,2.7101391249999995,0.04978706315159798,53.25,33,426,,,,,,
11.851714431349889,10.50886691629421,0.24444444444444444,-0.059445226561389015,0.6141572891565584,-2.912816101508062,,,,,,,,,,,,,
9.998080514565709,9.068252890370786,0.024725274725274724,-0.1130941461694762,0.6181472812485668,-5.65470730847381,,,,,,,,,,,,,
10.583566398370717,7.962443696102127,0.19047619047619047,-0.04002969453767155,0.3568304032577791,-1.6812471705822052,,,,,,,,,,,,,
9.656212082885803,8.585179779678583,0.019704433497536946,0.03360581091366063,0.3012240158978285,1.6466847347693712,,,,,,,,,,,,,
,,,,,,17,12,1.0837389999999998,0.04978706315159798,51.0,34,612,,,,,,
17.950119471074142,23.610322875902057,0.10572687224669604,0.14138642750934874,0.44927686813398054,10.17982278067311,,,,,,,,,,,,,
12.692386324950222,13.839152642758563,0.020527859237536656,-0.0016171853574040126,0.6888532079839316,-0.09703112144424075,,,,,,,,,,,,,
13.873563876606537,15.69527656212449,0.36363636363636365,-0.04727780084948825,0.8133377871440819,-2.9312236526682716,,,,,,,,,,,,,
10.480075529751433,10.273044906556606,0.027777777777777776,0.11939773081582593,0.24802857671097894,6.4474774640546,,,,,,,,,,,,,
,,,,,,23,16,1.6560133124999996,0.04978706315159798,53.5,36,856,,,,,,
17.193539639666096,22.65688452264294,0.48936170212765956,0.04114091054374485,0.5147070897341499,2.9621455591496293,,,,,,,,,,,,,
13.303791559273142,13.563487051287666,0.3333333333333333,0.0659847793418715,0.4329875741975063,3.6951476431448036,,,,,,,,,,,,,
16.445632174242082,25.298618075903505,0.2708333333333333,0.2640466347329023,0.3469502122578919,22.179917317563792,,,,,,,,,,,,,
8.199156511615934,5.718728213571012,0.02631578947368421,-0.16327902094044625,0.5030312551627386,-6.367881816677404,,,,,,,,,,,,,
,,,,,,30,20,2.4446679999999996,0.04978706315159798,55.15,36,1103,,,,,,
8.623630687884795,6.339736110996455,0.07142857142857142,-0.09980814309555248,0.4193869154218463,-3.9923257238220993,,,,,,,,,,,,,
9.877407243624084,8.916821075137705,0.026058631921824105,0.06283940280335507,0.26663238783256704,3.1419701401677536,,,,,,,,,,,,,
18.4079590682141,37.196140080923215,0.14682539682539683,0.06488154566197553,0.6253792590816553,7.136970022817309,,,,,,,,,,,,,
11.759920722445775,13.093381819780916,0.029354207436399216,0.11294969329773433,0.3446152522792881,6.889931291161794,,,,,,,,,,,,,
,,,,,,36,24,2.5832338333333333,0.04978706315159798,56.666666666666664,37,1360,,,,,,
11.751080032867852,13.275014230515808,0.3333333333333333,0.016606701848921258,0.5132790852358358,1.029615514633118,,,,,,,,,,,,,
13.696934145681938,16.350948373088613,0.0425531914893617,0.12577301565866514,0.2766759313582316,8.175246017813233,,,,,,,,,,,,,
11.833212999985715,12.480982667766511,0.20689655172413793,0.04369107750713198,0.3421993837626637,2.5340824954136547,,,,,,,,,,,,,
