custom/mean_reward,custom/avg_speed,custom/routes_completed,custom/total_reward,custom/avg_center_dev,custom/total_distance,time/fps,train/std,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/actor_loss
0.16997555412910198,16.316304894353372,0.5384615384615384,11.898288789037139,0.4068427830454376,20.811504646320827,,,,,,,,,,,,,
-0.01340485490963401,11.468447311862858,0.05084745762711865,-0.7506718749395045,0.7767685970160662,11.709559661336243,,,,,,,,,,,,,
-0.11327868327050229,10.186128200187962,0.13793103448275862,-4.984262063902101,0.7568648819297256,8.106161834904924,,,,,,,,,,,,,
-0.06412970989709996,12.875614737743712,0.2641509433962264,-3.7195231740317976,0.9278674255491438,13.640304015949368,,,,,,,,,,,,,
,,,,,,32,0.04978706315159798,6,224,0.5839430000000001,56.0,4,,,,,,
0.11352633478689293,14.565996924872609,0.25862068965517243,6.471001082852897,0.6325137448091728,15.134200198110193,,,,,,,,,,,,,
0.007483759953363452,9.895810092847688,0.02284263959390863,0.38167175762153605,0.3635262574446882,9.236690362915397,,,,,,,,,,,,,
0.25713159556142956,17.20455915691625,0.6590909090909091,24.68463317389724,0.38638510890571265,30.408125129295513,,,,,,,,,,,,,
-0.045908425271416954,10.875816491907763,0.023529411764705882,-2.203604413028014,0.5879573085790594,9.441413511987776,,,,,,,,,,,,,
,,,,,,36,0.04978706315159798,12,472,3.94512175,59.0,8,,,,,,
-0.0988631638295943,10.726191278555145,0.2222222222222222,-5.042021355309309,0.8714584429586302,9.938619669061154,,,,,,,,,,,,,
-0.0028342139504120376,12.349045317200718,0.027472527472527472,-0.13320805566936578,0.5457601112693292,10.476859238697216,,,,,,,,,,,,,
0.016588787436301208,10.040538211541426,0.23809523809523808,0.8792057341239641,0.5475848157721447,9.660204051295295,,,,,,,,,,,,,
0.08854338557080103,17.839807022658675,0.05665024630541872,6.109493604385271,0.4894886305665204,22.466249659424648,,,,,,,,,,,,,
,,,,,,37,0.04978706315159798,18,688,2.772159166666667,57.333333333333336,12,,,,,,
-0.022847503323854785,14.62114306832049,0.07929515418502203,-1.4850877160505611,0.8918897223899446,17.318456667358987,,,,,,,,,,,,,
0.18068361613995365,16.36490763975655,0.03225806451612903,13.551271210496523,0.5135225134369485,22.451014035381377,,,,,,,,,,,,,
-0.13478845128739564,8.836378942742904,0.13636363636363635,-5.795903405358012,0.687822562579426,6.856495436280966,,,,,,,,,,,,,
