custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/total_reward,custom/avg_center_dev,custom/total_distance,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
0.38461538461538464,13.409639388435924,0.03018546309267922,1.8714987117461117,0.6617290020379094,15.123343168990687,,,,,,,,,,
0.0391304347826087,11.717334251351845,-0.09637378820962912,-4.240446681223681,0.8142962816357472,9.326161397388205,,,,,,,,,,
0.3103448275862069,14.723012724956098,-0.04406736712966617,-2.9965809648172996,0.6458005398508098,18.27899989672005,,,,,,,,,,
0.7777777777777778,13.374849659643017,0.05184649446755365,3.0070966791181117,0.7547142072499334,14.105043071322143,,,,,,,,,,
,,,,,,6,57.0,-0.5986525,228,4,33,,,,
0.6379310344827587,21.32521835811945,0.17342650284589703,16.30209126751432,0.46660974250936943,36.76886971690692,,,,,,,,,,
0.011037527593818985,7.377667151949306,-0.0748343518655355,-3.0682084264869554,0.30292524524131437,5.442504676990211,,,,,,,,,,
0.4090909090909091,12.31705215749857,0.24153732657916574,18.598374146595763,0.2158965253153092,17.541925653349608,,,,,,,,,,
0.05572755417956656,16.497049736900873,0.060302059835982365,3.6784256499949244,0.5750987740978847,18.342279677279294,,,,,,,,,,
,,,,,,13,62.125,4.130464375,497,8,36,,,,
0.26666666666666666,11.231667348153497,0.013265453210490196,0.7959271926294118,0.6506373364336502,12.2697086869739,,,,,,,,,,
0.10526315789473684,16.626454406855373,0.20822482913319088,16.65798633065527,0.6272195896349245,24.37962671276182,,,,,,,,,,
0.4523809523809524,15.863081985609568,-0.056272421852178435,-3.5451625766872414,1.211886129798884,18.202775778481737,,,,,,,,,,
0.06666666666666667,17.40747728015348,0.025440241747948678,2.035219339835894,0.85209750161659,25.494231178658083,,,,,,,,,,
,,,,,,20,64.66666666666667,4.076269,776,12,38,,,,
0.1145374449339207,16.37524214830821,0.05835055376881947,4.784745409043197,0.8417665449799006,24.559019973501563,,,,,,,,,,
0.07348242811501597,17.29443824749147,0.24312296810926762,17.50485370386727,0.3165999633740251,22.867177182342857,,,,,,,,,,
0.22727272727272727,12.095591223348308,-0.03272529880717264,-1.5708143427442867,0.8305044352935416,10.54569308878854,,,,,,,,,,
0.11328125,17.664442761147317,0.20012003116268334,17.010202648828084,0.29034997497283477,27.505727854091674,,,,,,,,,,
,,,,,,26,66.1875,5.4084246875,1059,16,39,,,,
0.14893617021276595,9.074181369341975,-0.13550215961632464,-5.555588544269311,0.6924787388870774,6.655528848757967,,,,,,,,,,
0.07042253521126761,13.827065471991082,-0.0594771781803354,-3.984970938082472,0.8901445549874585,16.90446365601383,,,,,,,,,,
0.052083333333333336,8.116015652350736,-0.13777421376673787,-4.271000626768874,0.293648049797024,4.470806645229459,,,,,,,,,,
0.14942528735632185,12.370671025330527,0.08073782412309607,4.844269447385765,0.496398726999866,13.448540460783988,,,,,,,,,,
,,,,,,32,62.7,3.8765662,1254,20,39,,,,
0.13095238095238096,9.875189496651391,0.10594653353887408,6.356792012332445,0.31000016772885153,10.940524837002158,,,,,,,,,,
0.08947368421052632,13.727276477830346,0.06744585560168811,4.721209892118168,0.6078304559529696,17.54638670850545,,,,,,,,,,
0.05952380952380952,13.136357095663202,0.10645054201152632,6.91928523074921,0.5243350669939485,15.565097063430585,,,,,,,,,,
0.02158273381294964,9.993420454085122,-0.06059829565601282,-3.029914782800641,0.6794983999686416,9.048984084744006,,,,,,,,,,
,,,,,,38,62.291666666666664,3.8526049166666674,1495,24,38,,,,
0.717948717948718,17.325772198429377,-0.016238824290624086,-1.4614941861561679,1.0052832866054124,28.55442326935008,,,,,,,,,,
0.06965174129353234,10.80800839437,0.0217431220509347,1.5437616656163637,0.7761942087066906,14.033420101972297,,,,,,,,,,
0.1206896551724138,9.10975441831452,-0.11051422327192052,-4.862625823964503,0.7243793565022668,7.229839316103607,,,,,,,,,,
0.021377672209026127,10.001256099151975,0.10378625851614115,5.500671701355481,0.17986008291330763,9.620665980037302,,,,,,,,,,
,,,,,,45,62.464285714285715,3.3254425357142865,1749,28,38,,,,
0.1896551724137931,11.551962255246309,-0.050168599771499275,-2.558598588346463,0.7265567375965372,10.669973521726206,,,,,,,,,,
0.020361990950226245,10.813526390880375,-0.08401371350276166,-4.0326582481325595,0.8158498018585885,9.447314501972869,,,,,,,,,,
0.29545454545454547,12.415195762200861,0.08249298236800219,4.86708595971213,0.47999877218601883,13.317149568349123,,,,,,,,,,
0.030837004405286344,14.598878095655941,0.032085941839034474,1.6684689756297928,0.5405389918379243,13.912584852892905,,,,,,,,,,
,,,,,,50,61.09375,2.90352603125,1955,32,38,,,,
0.24444444444444444,11.844733242067411,0.00883487521686277,0.45057863606000126,0.5898815813512499,10.949507652316242,,,,,,,,,,
0.1065989847715736,15.993168911147784,0.11844155138303966,8.527791699578856,0.4816760110224755,21.040532999206334,,,,,,,,,,
0.42857142857142855,15.295206393824456,0.2305729125428969,14.526093490202506,0.3836677591384595,17.57939192885533,,,,,,,,,,
0.04472843450479233,12.777332219771631,0.07615989590733581,4.72191354625482,0.5394459302652393,14.394574825884774,,,,,,,,,,
,,,,,,57,61.083333333333336,3.362805277777778,2199,36,38,,,,
0.09251101321585903,15.867150524228963,0.07525480877049698,5.418346231475782,0.5098964601987621,20.86044139135629,,,,,,,,,,
0.03954802259887006,7.90072021232183,-0.07441067351886999,-3.943765696500109,0.5562373193731898,7.553822567686439,,,,,,,,,,
0.29545454545454547,14.578916763782964,0.04849167763160552,2.327600526317065,0.5906275173202421,12.734055480919778,,,,,,,,,,
0.01981981981981982,12.085301798613228,-0.03008694007421028,-1.624694764007355,0.7120796370564577,11.844404869247228,,,,,,,,,,
,,,,,,63,60.55,3.080057425,2422,40,38,,,,
0.1702127659574468,8.445610444558115,-0.11032951891359714,-5.40614642676626,0.7047938645154423,7.493172048591077,,,,,,,,,,
0.029801324503311258,11.080439897416575,-0.08243623690733992,-4.121811845366996,0.7990461311488738,10.06842554337345,,,,,,,,,,
0.13541666666666666,11.95095636589684,0.058500879471340875,3.5100527682804525,0.5821264806872359,13.046716395532712,,,,,,,,,,
0.09836065573770492,14.217775341336695,0.13935873603245122,9.615752786239135,0.575300109502638,17.943699446856044,,,,,,,,,,
,,,,,,69,60.13636363636363,2.878545818181818,2646,44,38,,,,
0.5476190476190477,18.839076515458608,0.1785136926198336,20.529074651280865,0.766114322093264,39.81160359282512,,,,,,,,,,
0.05357142857142857,13.486615280679127,0.04195499211412402,2.139704597820325,0.6297339899980062,12.509053208632395,,,,,,,,,,
0.03968253968253968,11.63207321037725,0.07128184898617126,3.7779379962670774,0.5636626216112874,11.186362428357825,,,,,,,,,,
0.09045226130653267,13.788204492403754,0.05834745370745901,4.259364120644507,0.5609829560669632,18.39084271597676,,,,,,,,,,
,,,,,,76,61.125,3.2760693958333333,2934,48,38,,,,
0.38461538461538464,11.850633788420438,0.05556905335967254,3.778695628457733,0.6215408012128687,14.870497011346743,,,,,,,,,,
1.0743494423791822,14.380926204245572,0.28197609321523015,30.171441974029626,0.3641789218614464,103.92269643873442,,,,,,,,,,
0.603448275862069,18.85710663194875,0.20356109962878066,20.356109962878065,0.8578760562962531,34.60072701307945,,,,,,,,,,
0.075,10.91403820781036,0.03099584669823756,1.5807881816101155,0.4651222851824,10.028405172284693,,,,,,,,,,
,,,,,,84,62.61538461538461,4.097442115384616,3256,52,38,,,,
0.3103448275862069,16.290232567287596,0.2591301691445587,16.06607048696264,0.44028603920186127,18.442415590165183,,,,,,,,,,
0.04054054054054054,12.01109583765487,-0.07659366628385333,-3.3701213164895467,0.696348069247951,9.526379557093605,,,,,,,,,,
0.45454545454545453,13.594443877655513,0.25738775235686967,20.848407940906444,0.3969142028765059,20.128474622499198,,,,,,,,,,
0.03146853146853147,11.2208793252408,-0.06470533823630058,-3.1058562353424275,0.7215003626120015,9.800194637384266,,,,,,,,,,
,,,,,,90,62.267857142857146,4.347667732142858,3487,56,38,,,,
0.7111111111111111,19.657877103094645,0.1176266541817095,10.115892259627017,0.9290101626268181,30.9828215012094,,,,,,,,,,
0.07142857142857142,15.884980662806012,0.01610711739969857,1.3207836267752828,1.0356653997119145,23.82236961997114,,,,,,,,,,
0.5714285714285714,17.313834314690194,0.16345362624341886,12.095568342012996,0.31830462792284114,23.414546261075884,,,,,,,,,,
0.06818181818181818,12.304212253866112,0.1535985197580459,9.983903784272982,0.24336554764925497,14.6445045361761,,,,,,,,,,
,,,,,,97,63.166666666666664,4.615233466666667,3790,60,39,,,,
0.05726872246696035,11.588742999798253,0.0008231812430970084,0.04774451209962649,0.6371905555491397,12.225084959995002,,,,,,,,,,
