custom/avg_center_dev,custom/avg_speed,custom/routes_completed,custom/total_reward,custom/total_distance,custom/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/std,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates
0.3723514499885982,16.221617720346654,0.5384615384615384,11.925648744389225,20.710162453586236,0.17036641063413177,,,,,,,,,,,,,
0.7342099718229214,11.488890363836429,0.046610169491525424,-0.6436522494840666,11.509297294542193,-0.011702768172437575,,,,,,,,,,,,,
0.7745225676416438,10.11424900886896,0.13793103448275862,-4.981970660767586,8.046061513246968,-0.11322660592653605,,,,,,,,,,,,,
0.3768093306628019,8.929111855687081,0.11320754716981132,-3.8760291356497767,6.125486473552883,-0.1020007667276257,,,,,,,,,,,,,
,,,,,,203,50.75,4,0.04978706315159798,0.5790155000000001,6,29,,,,,,
0.6119139998440698,16.44855874101721,0.3448275862068966,6.571573760268436,19.819393931422383,0.0995692993980066,,,,,,,,,,,,,
0.5246561445306864,10.275769016678955,0.02284263959390863,-1.5930781898222488,9.307561175199226,-0.031861563796444975,,,,,,,,,,,,,
0.7456858943297731,11.145486732141666,0.25,-2.0149934170837014,10.465475330362096,-0.03950967484477846,,,,,,,,,,,,,
0.23486633972108897,12.580809435941605,0.03764705882352941,14.910776193472508,16.362757079768926,0.21001093230242968,,,,,,,,,,,,,
,,,,,,437,54.625,8,0.04978706315159798,2.5105213749999997,12,34,,,,,,
0.4442255732349997,15.512479054841867,0.4,11.05614003240515,18.681402744958177,0.16751727321825985,,,,,,,,,,,,,
0.43149070009625223,15.192869651223242,0.046703296703296704,8.260206968394115,18.2235081467079,0.12515465103627446,,,,,,,,,,,,,
0.5339539860709119,10.105995123748318,0.23809523809523808,1.1530219543969213,9.718303416855633,0.021755131215036253,,,,,,,,,,,,,
0.2746548816244525,18.147289554071953,0.06157635467980296,8.171369533299739,23.186974928481504,0.11673385047571055,,,,,,,,,,,,,
,,,,,,688,57.333333333333336,12,0.04978706315159798,4.057462999999999,18,36,,,,,,
0.9083375934607906,14.70246895121547,0.07929515418502203,-1.5227099762571168,17.392639805329964,-0.023426307327032565,,,,,,,,,,,,,
0.5198068916955744,16.395432484002097,0.03225806451612903,13.664673789457634,22.468124978244305,0.1821956505261018,,,,,,,,,,,,,
0.6962242924398895,8.930654843297258,0.1590909090909091,-5.752307172369718,6.914153876481578,-0.13377458540394693,,,,,,,,,,,,,
0.5009576540249555,16.40262711560356,0.04292929292929293,7.807398076885082,17.65329972654581,0.13232878096415393,,,,,,,,,,,,,
,,,,,,926,57.875,16,0.04978706315159798,3.928152,24,37,,,,,,
0.6185247539718136,13.527759325563142,0.3404255319148936,5.220978568214452,15.30552414432168,0.08420933174539438,,,,,,,,,,,,,
0.34736578091560677,15.776381984809232,0.5476190476190477,18.626549834179325,22.854018830694258,0.23577911182505476,,,,,,,,,,,,,
0.38588457347058447,6.9764256815627474,0.052083333333333336,-5.8846943459464365,4.460286391084082,-0.16346373183184545,,,,,,,,,,,,,
0.6894443659272979,10.807069238031744,0.042105263157894736,-1.6086004662687525,9.22598528652452,-0.03422554183550537,,,,,,,,,,,,,
,,,,,,1146,57.3,20,0.04978706315159798,3.9548065,30,37,,,,,,
0.20310396405694153,8.1807957276813,0.07142857142857142,0.9123219638727438,6.354507820098661,0.02121678985750567,,,,,,,,,,,,,
0.9119876828140429,16.92638101262698,0.09446254071661238,8.85155678980367,31.074319761944935,0.0885155678980367,,,,,,,,,,,,,
0.8605358593153113,15.861566756207463,0.09523809523809523,10.58118432873028,24.73391573363915,0.1244845215144739,,,,,,,,,,,,,
0.5378673552282286,10.593258843932965,0.023483365949119372,1.7873815463909821,11.366414925083518,0.030294602481203088,,,,,,,,,,,,,
,,,,,,1429,59.541666666666664,24,0.04978706315159798,4.211855666666666,37,37,,,,,,
0.5805328696937464,12.291855215443253,0.358974358974359,3.90720052219614,14.822314273566008,0.05920000791206273,,,,,,,,,,,,,
