custom/mean_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/avg_center_dev,custom/total_reward,rollout/ep_len_mean,time/episodes,train/std,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,train/actor_loss,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate
0.15591770265363822,15.459896204527467,0.38461538461538464,12.866188126637546,0.41141157907567016,10.290568375140122,,,,,,,,,,,,,
-0.05833282585948655,8.426194136380218,0.03389830508474576,9.734872641581672,0.6406950002628927,-2.7999756412553545,,,,,,,,,,,,,
-0.09527546996070652,10.171771434834227,0.1724137931034483,13.752328225817573,0.8612739888639305,-3.906294268388967,,,,,,,,,,,,,
-0.1146350853673661,14.564448372228071,0.2641509433962264,15.201328934033727,0.4753971760806873,-6.075659524470403,,,,,,,,,,,,,
,,,,,,17.5,4,0.04978706315159798,-0.6497247499999996,10,6,70,,,,,,
-0.1452161048555445,6.391696583246812,0.10344827586206896,8.529207372228107,0.7452448513074615,-6.0990764039328695,,,,,,,,,,,,,
0.025268415588908036,13.729831428732723,0.03299492385786802,12.560536577777505,0.7659596273950734,1.5161049353344822,,,,,,,,,,,,,
0.15644538915251935,15.490896226838231,0.3409090909090909,12.365512564129135,0.3582128944953593,10.794731851523835,,,,,,,,,,,,,
0.0003336962550875455,8.386376047506928,0.018823529411764704,10.38934698692216,0.4543275267045098,0.015016331478939549,,,,,,,,,,,,,
,,,,,,17.75,8,0.04978706315159798,0.4490825000000003,11,12,142,,,,,,
-0.17613593355192994,7.509432197315618,0.15555555555555556,9.312770678544052,0.9583787674960249,-7.926117009836847,,,,,,,,,,,,,
-0.13661745833903044,6.3050035511842,0.013736263736263736,9.051015138917213,0.6694150852852149,-5.328080875222187,,,,,,,,,,,,,
-0.16587988104514206,6.409279448213056,0.14285714285714285,9.482214293620729,0.6482699175604216,-6.303435479715398,,,,,,,,,,,,,
0.12039726871315017,28.04412674997002,0.06896551724137931,15.461513534145526,0.6859081393104516,11.919329602601866,,,,,,,,,,,,,
,,,,,,18.0,12,0.04978706315159798,-0.34318224999999974,12,17,216,,,,,,
